x,y,yaw,left_x,left_y,right_x,right_y
-9.476967327355734,143.7642970601219,-1.489540517735982,-8.685724086618638,150.35947647747724,-11.454842166381267,150.113951370756
-9.314603063698948,141.77051014063355,-1.5203425137490505,-7.9356,141.8992,-10.7047,141.6537
-9.213574517489935,139.7698128711153,-1.4664398250439408,-7.6862,138.9645,-10.4553,138.7189
-9.005311862109565,137.781378134322,-1.3004269154472776,-7.5661,137.6101,-10.3352,137.3646
-8.469911751364666,135.84961285853132,-1.1177251234737484,-7.1977,136.5954,-10.2406,136.4207
-7.592927533758149,134.0482637171918,-0.976522505272892,-6.725,135.7169,-9.9897,135.2411
-6.476840164318134,132.39666845646371,-0.9960636435727962,-6.1113,134.8799,-9.5701,133.9612
-5.379150850132152,130.70182983996764,-1.181129752052588,-4.7373,133.1066,-8.9268,132.7122
-4.61569687463249,128.842763221028,-1.4626936667262587,-4.0194,131.999,-7.4734,130.7714
-4.400317284784863,126.85816869986535,-1.4999147340562118,-3.531,130.8919,-6.7314,129.9264
-4.2586626377790315,124.86304798833748,-1.4991011438886397,-3.2738,129.6852,-6.2691,129.1827
-4.115556138206398,122.87042852528471,-1.5014288070156787,-3.101,128.4218,-5.921,128.1848
-3.976946458036887,120.87544173417123,-1.4988166088486259,-3.0254,127.5334,-5.8454,127.2964
-3.8327453664639215,118.87554550648903,-1.5576347068599723,-2.3751,119.0407,-5.3072,118.7861
-3.8064318379893742,116.87639880785359,-1.71172062315596,-2.274,116.5115,-5.3322,117.3623
-4.087548337970487,114.89481664255115,-1.8798948454887618,-2.4021,114.4711,-5.4242,116.1419
-4.698220568050772,112.98248474564214,-1.9887877220734544,-2.7978,113.0801,-5.7416,114.9683
-5.510689738635983,111.15328117029146,-1.9108856226115327,-3.2198,112.0752,-6.1175,114.0383
-6.177455116620854,109.26889735139054,-1.7128063801292943,-3.9216,110.6839,-7.1208,111.9942
-6.461516382757401,107.2820721480801,-1.5338327644375942,-4.4831,109.1084,-7.7538,109.9253
-6.387558381733683,105.28214816402568,-1.5457591695028385,-4.8138,107.4625,-8.0823,107.793
-6.337501463383298,103.28326075911367,-1.7167605037961893,-4.9037,105.7225,-8.1029,105.6995
-6.629502369516151,101.29699114927809,-1.8942924033020565,-4.7302,103.9973,-7.9175,103.7211
-7.268300270725726,99.39168973003902,-1.985828186235288,-4.7027,102.722,-7.963,102.837
-8.076893297316234,97.55659234697285,-1.8791699861059796,-4.8015,101.6488,-8.0608,101.9189
-8.679705307244026,95.66414223303299,-1.6826195557278736,-5.1309,100.6216,-8.3393,100.7904
-8.90360191646655,93.67025778742337,-1.554100544086815,-5.7559,99.0417,-8.8075,99.6854
-8.86996541804833,91.65577463522213,-1.4856541579620146,-6.0699,98.3668,-9.2477,98.8652
-8.699888491502486,89.66303993204583,-1.4655053918018168,-6.4178,97.586,-9.7563,97.6834
-8.490059012250292,87.67755558765722,-1.4798670989095197,-6.7783,96.6875,-10.0683,96.6851
-8.308531440692619,85.68669959709754,-1.4911878365820426,-7.0521,95.8817,-10.2988,95.6324
-8.14940020172688,83.69200115398448,-1.4947114407218913,-7.2453,95.0854,-10.3853,94.5581
-7.997319469988035,81.69702993557898,-1.4924523063463602,-7.3673,94.2743,-10.3767,93.4769
-7.840790351936202,79.70314784152235,-1.4870789353199498,-7.4665,93.4431,-10.3275,92.403
-7.673576885617312,77.71045986424471,-1.4791922394850505,-7.4879,92.6457,-9.1405,78.5125
-7.490638188176341,75.71899072845817,-1.4755835401615247,-6.3008,78.7551,-8.8429,75.0303
-7.468642235,75.48867035,-1.4755835401615247,-6.0032,75.273,-8.7121,73.6492
,,,-5.6907,73.6474,-8.44706483624782,72.31727691440078
,,,-5.375468244872952,72.60402162173283,,
