station,node,x,y,z,qx,qy,qz,qw
P03S,HP0301,-394.0342186312,87.9115614481671,2.1623587601555365,0.0,0.0,0.038840008201040166,0.9992454422027368
P03S,HP0301,-393.6773110320777,87.93787387283675,2.171770295725564,0.0,0.0,0.03498227897093103,0.9993879327658505
P03S,HP0301,-393.28976145051854,87.9639087439023,2.18198347728178,0.0,0.0,0.03231592382407954,0.999477704137214
P03S,HP0301,-392.8762857119362,87.98994612326442,2.1938000857768722,0.0,0.0,0.030731077532545458,0.9995276888979557
P03S,HP0301,-392.4416806963329,88.01626020280989,2.2042971506803624,0.0,0.0,0.029798378470711075,0.9995559297210518
P03S,HP0301,-391.9907997008256,88.04279077580213,2.2160923046267125,0.0,0.0,0.028942777912088744,0.9995810700522152
P03S,HP0301,-391.5283485577019,88.06909046049749,2.228302080647961,0.0,0.0,0.027816760556394406,0.9996130390466844
D20S,HD20S04,-374.52497331630286,87.9302177787414,1.8575959353459601,0.0,0.0,-0.004319263768216213,0.999990671936744
D20S,HD20S04,-374.1085979317842,87.9279634036224,1.8435630016590192,0.0,0.0,-0.0010521507480543341,0.9999994464892485
D20S,HD20S04,-373.69219734409967,87.92850966599363,1.830271447393397,0.0,0.0,0.0023788627442513244,0.999997170502019
D20S,HD20S04,-373.2758209571373,87.93195143872286,1.81701912344205,0.0,0.0,0.005907944519356095,0.999982547943491
D20S,HD20S04,-372.8594479773571,87.93838935939178,1.803655248255246,0.0,0.0,0.009574367273430657,0.9999541646952191
D20S,HD20S04,-372.4431879331827,87.94791162726385,1.790390530137789,0.0,0.0,0.013285156060428247,0.9999117484200544
D20S,HD20S04,-372.0272328259875,87.96045416806157,1.7797162659762222,0.0,0.0,0.01681504538347022,0.9998586171298179
H05N,HH05N04,-350.6537023934954,89.67480153618281,1.724832721507859,0.0,0.0,0.042961774854628154,0.9990767167246669
H05N,HH05N04,-349.9895238018082,89.73202489818986,1.7251878284805702,0.0,0.0,0.04295570861223991,0.9990769775636011
H05N,HH05N04,-349.3253252774944,89.78924013527553,1.7255725478322888,0.0,0.0,0.04294704364547085,0.9990773500796192
H05N,HH05N04,-348.66115054869215,89.84643981607053,1.7259276972213096,0.0,0.0,0.04293550804455745,0.999077845890377
H05N,HH05N04,-347.9969504439293,89.90362425653726,1.7262531722325385,0.0,0.0,0.042921019189163544,0.9990784684456789
H05N,HH05N04,-347.3327468651271,89.96078764970181,1.7266083042662934,0.0,0.0,0.04290366478249067,0.9990792138505493
H05N,HH05N04,-346.66859185760916,90.01792160169879,1.726963409411312,0.0,0.0,0.042883195440117844,0.9990800926596649
D1901N,HD1901N02,-308.80131974277606,93.186506470687,1.7634078075221358,0.0,0.0,0.04100325493550094,0.9991590129127067
D1901N,HD1901N02,-308.1369124926313,93.24111589467476,1.7640881150763423,0.0,0.0,0.04098147616190904,0.9991599064271899
D1901N,HD1901N02,-307.4724739337034,93.29569731062789,1.7646637117174153,0.0,0.0,0.04095826461439437,0.9991608582004087
D1901N,HD1901N02,-306.8079672024718,93.35025387914479,1.765291691645476,0.0,0.0,0.04093627090429236,0.9991617595386897
P0504N,HP0504N01,-306.14360425755837,93.40477033858706,1.765919624252832,0.0,0.0,0.04091587719725635,0.999162594872916
P0504N,HP0504N01,-305.47918785269036,93.45926477568993,1.7665475883671233,0.0,0.0,0.04089697512955031,0.9991633687366911
P0504N,HP0504N01,-304.81471920354596,93.51373995850085,1.767175547815866,0.0,0.0,0.04088077243875959,0.9991640318009903
P0505N,HP0505N02,-249.66486860451553,98.01459299434012,1.8599222712546182,0.0,0.0,0.042350146945756194,0.9991028300698946
P0505N,HP0505N02,-249.0005894004096,98.07098843277335,1.8614442374396216,0.0,0.0,0.042316176690284917,0.9991042694285299
P0505N,HP0505N02,-248.33629996567186,98.12733181554606,1.8627286169624324,0.0,0.0,0.042270620755469765,0.9991061978693493
P0505N,HP0505N02,-247.67201611308926,98.18359900953429,1.863369963061673,0.0,0.0,0.04220287016291537,0.999109061989737
P0505N,HP0505N02,-247.00771868693647,98.23976973818671,1.8640112259661694,0.0,0.0,0.04212954433539014,0.9991121566141072
P0505N,HP0505N02,-246.34341770503252,98.29585323968595,1.86364417091087,0.0,0.0,0.042074597079762896,0.9991144720604219
P0505N,HP0505N02,-245.67911321692605,98.35187720332671,1.8602947739967128,0.0,0.0,0.04203901563338971,0.999115969827615
P0505N,HP0505N03,-219.18461624979653,100.68551007377684,1.8405791066759365,0.0,0.0,0.044731499338656805,0.9989990455285309
P0505N,HP0505N03,-218.5532210439419,100.74226381676651,1.840364934116713,0.0,0.0,0.044880463128225814,0.9989923643498964
P0505N,HP0505N03,-217.9299056095546,100.79845835743784,1.8401360397263666,0.0,0.0,0.04499273917692761,0.9989873139441546
P0505N,HP0505N03,-217.31517639613352,100.85397402410491,1.839945154080141,0.0,0.0,0.04502137214057584,0.9989860239515765
P0505N,HP0505N03,-216.70930781587148,100.9086418428439,1.839739789733306,0.0,0.0,0.044905906935841476,0.9989912209435424
P0505N,HP0505N03,-216.11235222618907,100.96225208973146,1.839537461611591,0.0,0.0,0.04459698082467245,0.9990050596975592
P0505N,HP0505N03,-215.52498202272912,101.01453435646202,1.83933841437222,0.0,0.0,0.04412647848206249,0.9990259525641825
P0505N,HP0505N06,-200.44945259150384,111.91145054777492,1.8398265756593986,0.0,0.0,0.7369885837396841,0.6759051911602504
P0505N,HP0505N06,-200.49012485113096,112.32613943190411,1.8465766040621439,0.0,0.0,0.7445265925404027,0.6675928047846061
P0505N,HP0505N06,-200.53980263481046,112.73986530803975,1.8622352689411876,0.0,0.0,0.7515279794026815,0.6597012173514029
P0505N,HP0505N06,-200.59793228281185,113.15247083662528,1.8800767790337944,0.0,0.0,0.7580078869465269,0.6522453858225915
P0505N,HP0505N06,-200.66386646578732,113.56388948719854,1.8980095534081982,0.0,0.0,0.7638903217287709,0.6453460903802819
P0505N,HP0505N06,-200.73695836504587,113.97411194950944,1.9158597919972828,0.0,0.0,0.7692790108602198,0.6389129858203869
P0505N,HP0505N06,-200.81672129593719,114.38308815973767,1.93289511097424,0.0,0.0,0.7743020404040442,0.632816205723379
D01S,HD01S01,-204.1423401146733,137.20265662448665,1.9075876421476872,0.0,0.0,0.7351088903546042,0.6779490536328098
D01S,HD01S01,-204.19549431903772,137.86648590157452,1.9084432885845861,0.0,0.0,0.7344583535950416,0.6786537606426865
D01S,HD01S01,-204.24724654010876,138.52876248794416,1.909296225896878,0.0,0.0,0.7338102118607578,0.6793545267155211
D01S,HD01S01,-204.29751859037546,139.18809272950713,1.9102851402170007,0.0,0.0,0.7331812392239611,0.680033286280912
D01S,HD01S01,-204.34624528293395,139.84284309700527,1.9109865091246265,0.0,0.0,0.7325735243149648,0.6806879104793558
D01S,HD01S01,-204.39336762996618,140.49139147763313,1.9118151241047805,0.0,0.0,0.7319895839396384,0.6813158217771513
D01S,HD01S01,-204.4388338127358,141.13185977854596,1.9126337954899018,0.0,0.0,0.7314456957363399,0.6818996951082921
