coordinate,latency,score,vehicle_name,velocity,status_code
"-574.0884069664849,-124.20926701776078,-1.5040731209692573",27.179718017578125,0.0,AGV2,1.7429391635034623,200
"-573.9802509053752,-125.90159889563127,-1.5091769898244267",6.812572479248047,0.0,AGV2,1.6483208649967962,200
"-573.8830888269206,-127.50583373016732,-1.5111459420154616",6.999015808105469,0.0,AGV2,1.564459390518847,200
"-573.794043068228,-129.015738319197,-1.5131652886854705",7.183313369750977,0.0,AGV2,1.434250270112706,200
"-573.7174355602451,-130.3981254483309,-1.5193059607176036",7.200717926025391,0.0,AGV2,1.3668142210917391,200
"-573.6607844617413,-131.77047410540533,-1.5429901860473738",6.759166717529297,0.0,AGV2,1.381629530702696,200
"-573.6531211873574,-133.15493954281544,-1.592520156211783",6.955623626708984,0.0,AGV2,1.3854296524734084,200
"-573.7359412540167,-134.53769010281547,-1.6742954242597086",7.198333740234375,0.0,AGV2,1.3857285935111279,200
"-573.9532070716259,-135.90559654053513,-1.7871450485362173",17.683029174804688,0.0,AGV2,1.3860410830284002,200
"-574.3409901535845,-137.2353021621496,-1.9241546336183746",6.778717041015625,0.0,AGV2,1.386338680636409,200
"-574.9152236301023,-138.49585191219631,-2.074340865973752",17.107248306274414,0.0,AGV2,1.3866084722701992,200
"-575.6773874014905,-139.65263600146923,-2.233615995834531",7.297039031982422,0.0,AGV2,1.386850055418398,200
"-576.6158082090114,-140.67174347835734,-2.3969213480536857",27.38809585571289,0.0,AGV2,1.387065950747278,200
"-577.7070332157107,-141.5257332311591,-2.556800951931096",7.419347763061523,0.0,AGV2,1.3872589694131858,200
"-578.9164593738632,-142.20307794116465,-2.7020355029466407",7.175445556640625,0.0,AGV2,1.3874315670638366,200
"-580.2052881336068,-142.7149408935723,-2.8207343602766115",7.267475128173828,0.0,AGV2,1.3875858722498742,200
"-581.5409937084424,-143.08895844867138,-2.912641411774684",17.324447631835938,0.0,AGV2,1.3877238290109393,200
"-582.9031049799294,-143.3530499585028,-2.9854945402755138",26.935815811157227,0.0,AGV2,1.387847194402968,200
"-587.0527813044223,-143.52547333063904,3.044064897843934",27.352094650268555,0.0,AGV2,1.388144314464404,200
"-588.4215649031859,-143.30063826077338,2.906873966975591",39.88933563232422,0.0,AGV2,1.3882231701253807,200
"-589.7370165838315,-142.86287599026073,2.72627523406872",7.184028625488281,0.0,AGV2,1.3882936670479507,200
"-590.9383994422337,-142.1723877324993,2.5089445243345847",27.099132537841797,0.0,AGV2,1.3883567115305142,200
"-591.9538146579138,-141.23006354009556,2.2797061993264345",7.413387298583984,0.0,AGV2,1.3884130677736308,200
"-592.7353890172542,-140.0857716651101,2.0656028479009487",6.972789764404297,0.0,AGV2,1.3884634952977184,200
"-593.2774855764435,-138.80942897644226,1.8867234786223086",26.965618133544922,0.0,AGV2,1.3885085372326373,200
"-593.6163228131952,-137.46389120992458,1.75811349154234",7.432699203491211,0.0,AGV2,1.388548817668928,200
"-593.8178170689363,-136.09039949207468,1.683745855820015",17.445087432861328,0.0,AGV2,1.3885848391365871,200
"-593.9484284097925,-134.70797710367026,1.6518281288142773",26.849746704101562,0.0,AGV2,1.3886170445353818,200
"-594.0543476604245,-133.32337860540832,1.644747674356627",27.232885360717773,0.0,AGV2,1.3886458436637636,200
"-594.1575212756967,-131.93853294731358,1.6458559667209058",27.432918548583984,0.0,AGV2,1.3886715906671527,200
"-594.262672974621,-130.5539100913727,1.6472945668489176",17.430782318115234,0.0,AGV2,1.3886946153647577,200
"-594.3694011876739,-129.16947465361957,1.648017064240357",7.068634033203125,0.0,AGV2,1.387516277243269,200
"-594.4758585669514,-127.79447773642197,1.6480427289712312",27.333974838256836,0.0,AGV2,1.3670604095746401,200
"-594.5807045794883,-126.43702817574837,1.6477177926615993",27.49943733215332,0.0,AGV2,1.3711203010682147,200
"-594.6913091274727,-125.00085297567915,1.6476546430860466",27.503252029418945,0.0,AGV2,1.5299040929499401,200
"-594.8180706931885,-123.35740377486948,1.6478898128521715",7.129430770874023,0.0,AGV2,1.7694506071278748,200
"-594.9623355869018,-121.48869495283944,1.6476214105743314",7.286548614501953,0.0,AGV2,1.9629424810123766,200
"-595.1154528319954,-119.48099107049556,1.6460608002323207",7.589101791381836,0.0,AGV2,2.0438809359813175,200
"-595.2672760910078,-117.45176719785262,1.6453259852129782",17.460346221923828,0.0,AGV2,2.0097717064273377,200
"-595.4161299640302,-115.49206873089906,1.6486339797053597",7.191658020019531,0.0,AGV2,1.92297177945379,200
"-595.5678308016072,-113.61470208786976,1.65381711193593",7.259845733642578,0.0,AGV2,1.8415560580910646,200
"-595.7173337132793,-111.82757171793888,1.6527333957795638",27.5571346282959,0.0,AGV2,1.7425141432783635,200
"-595.840962327446,-110.15189805298837,1.6322368739633972",27.63056755065918,0.0,AGV2,1.6171313482469645,200
"-595.9075945848801,-108.59873549303364,1.591270826064023",7.123708724975586,0.0,AGV2,1.4922903817794761,200
"-595.8968808442404,-107.16729879626881,1.5315727884530872",13.909339904785156,0.0,AGV2,1.3808843383693745,200
"-595.7906032931597,-105.79807607902174,1.4511485736469296",7.642269134521484,0.0,AGV2,1.3773656610522673,200
"-595.5566346974749,-104.43463723545298,1.3467410166498697",7.565975189208984,0.0,AGV2,1.3878191767290942,200
