coordinate,latency,score,vehicle_name,velocity,status_code
"-4.576315280154731,140.90123468372218,-1.4902513133211261",201.063871383667,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",91.98451042175293,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",90.84486961364746,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",89.6604061126709,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",172.51276969909668,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",114.3949031829834,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",81.24113082885742,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",99.20763969421387,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",92.29707717895508,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",91.76516532897949,0.0,AGV2,0.0,200
"-4.576315280154731,140.90123468372218,-1.4902513133211261",93.79172325134277,0.0,AGV2,0.0,200
