x,y,ds,dist,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-281.375320184478,48.3761779451753,0,0,1.65701450394249,5.55555534362793,0,"array('q', [31513])",-282.574132114013,45.763114193079,-279.744671646975,46.0079346399903
-281.547543084766,50.3687501665256,2.00000119616976,2.00000119616976,1.65628255706661,5.55555534362793,0,"array('q', [31513])",-283.1403,52.3066,-280.3104,52.5461
-281.71830797312,52.3614536427144,2.0000069477653,4.00000814393506,1.6538655771924,5.55555534362793,0,"array('q', [31513])",-283.1775,52.7594,-280.3496,52.9969
-281.884255398608,54.3545562917149,1.99999917936956,6.00000732330462,1.64960711356167,5.55555534362793,0,"array('q', [31513])",-283.2141,53.2132,-280.3883,53.4469
-282.041713736398,56.3483468699953,1.99999849954425,8.00000582284887,1.64869864181776,5.55555534362793,0,"array('q', [31513, 30774])",-283.2502,53.6671,-280.4263,53.8969
-282.197361015661,58.3422836253685,2.00000246499103,10.0000082878399,1.65244194626664,5.55555534362793,0,"array('q', [31513, 30774])",-283.2857,54.1201,-280.4639,54.3479
-282.360470533939,60.3356168675542,1.99999553233387,12.0000038201738,1.65536280239008,5.55555534362793,0,"array('q', [30774, 31519])",-283.3222,54.5752,-280.4999,54.7968
-282.529402390516,62.3284746578749,2.00000503614577,14.0000088563195,1.65444741406961,5.55555534362793,0,"array('q', [30774, 31519])",-283.4863,56.6039,-280.6558,56.8283
-282.696508560445,64.3214698241452,1.99998855116851,15.9999974074881,1.65429369154954,5.55555534362793,0,"array('q', [31519])",-283.6632,58.8628,-280.8327,59.0846
-282.86330904735,66.3144988657623,1.99999679078766,17.9999941982757,1.65868893397308,5.55555534362793,0,"array('q', [31519])",-284.3431,66.9572,-281.5127,67.1789
-283.038875872384,68.306867810312,2.00008942831529,20.000083626591,1.65389176550173,5.55555534362793,0,"array('q', [31519, 31097])",-284.7222,71.7983,-281.8922,72.02
-283.204878196236,70.2999985598921,2.00003173885966,22.0001153654507,1.63038217471294,5.55555534362793,0,"array('q', [31519, 31097])",-284.783,72.9813,-281.9449,73.0684
-283.323988687098,72.296605060196,2.00015620042265,24.0002715658733,1.5881813996915,5.55555534362793,0,"array('q', [31097, 30957])",-284.7933,74.5035,-281.9541,74.4545
-283.35876846485,74.2969575426546,2.00065481455916,26.0009263804325,1.53403856559567,5.55555534362793,0,"array('q', [31097, 30957])",-284.7307,76.0245,-281.8969,75.8395
-283.285230882414,76.2966565822439,2.00105073023272,28.0019771106652,1.4716283103589,5.55555534362793,0,"array('q', [30957])",-284.5952,77.5407,-281.7734,77.2201
-283.087014208419,78.2888964284259,2.00207628590044,30.0040533965656,1.4231515438674,5.55555534362793,0,"array('q', [30957])",-284.4953,78.4743,-281.6671,78.2157
-282.79319233845,80.2644742248264,1.99730791839985,32.0013613149655,1.40102672509237,5.55555534362793,0,"array('q', [30957])",-283.6155,84.4283,-280.7758,84.382
