x,y,yaw,distance
-314.9998078563864,149.26772218582104,-3.0669737454511528,0.0
-319.9861032538258,148.89777866381436,-175.7568821143718,4.9999999999999964
-325.9685386457992,148.43178036064054,-175.50376692856497,6.000557277261582
-331.94630804414214,148.68340220596633,176.2230402873784,5.983062805354017
-337.54248729112624,150.61416134945853,158.06819862432988,5.919886234933419
-343.4500633165865,151.49199535491465,174.23521587614363,5.9724406265553025
-349.3776618248203,150.9864248364689,-173.0744274010311,5.949119735216007
-354.05004275690635,147.45845140470544,-137.07569615648393,5.854719473190011
-354.6578822182745,141.90950511706723,-90.20136048270753,5.582138811771905
-354.18322950361915,135.9621724378781,-84.51342556389753,5.966243474455303
-353.6173690654427,129.98933998517026,-84.60291554467291,5.999577113731709
-353.12560971882016,124.0095693626195,-85.43790429986107,5.9999569959551975
-352.6073221791929,118.03198655278433,-84.96587785964638,6.000009851839393
-352.08969458780916,112.05437300123904,-85.06784992372106,5.999983507892304
-352.0283203125,111.343162536621,-1.4946698947028627,0.7138537151629493
