id,name,description,node_type,x,y,z,qx,qy,qz,qw,yaw
1,H01S,test,station,-521.2587891,133.6039734,0,0,0,-0.998822631,0.048511349,-174.4388262
2,H02S,test,station,-521.4279175,137.0723572,0,0,0,-0.998822631,0.048511349,-174.4388262
3,H01N,test,station,-561.1687012,149.5363617,0,0,0,0.054893025,0.998492241,6.293440628
4,H02N,test,station,-505.5957336,154.3336639,0,0,0,0.054893025,0.998492241,6.293440628
5,H03N,test,station,-447.6339722,159.3382721,0,0,0,0.054893025,0.998492241,6.293440628
6,H04N,test,station,-374.6099243,165.7845917,0,0,0,0.047807674,0.998856559,5.480444908
7,H05N,test,station,-351.6308594,105.2836533,0,0,0,-0.680453207,0.732791535,-85.75813679
8,P01S,test,station,-491.7234581,78.03127252,0,0,0,0.032415349,0.999474484,3.715176194
9,P02S,test,station,-445.9377747,81.76993561,0,0,0,0.049203786,0.99878876,5.64061611
10,P03S,test,station,-394.1081547,84.69378467,0,0,0,0.050529503,0.998722569,5.792721338
11,P04S,test,station,-258.8009338,-88.24622345,0,0,0,-0.998380241,0.056893708,-173.476939
12,P05S,test,station,-365.0222109,87.19198692,0,0,0,0.058653758,0.998278386,6.725085346
13,P06S,test,station,-591.6357422,-116.7617188,0,0,0,0.731830397,0.681486808,94.08012594
14,D01S,test,station,-203.8314362,139.3622131,0,0,0,0.731577921,0.681757835,94.03768071
15,D02S,test,station,-134.2614441,167.0089417,0,0,0,0.027745244,0.999615027,3.179778821
16,D03S,test,station,-80.28000641,171.4285889,0,0,0,0.027979211,0.999608505,3.206599875
17,D04S,test,station,-5.420318127,139.3334961,0,0,0,-0.679137689,0.734010899,-85.55259143
18,D05S,test,station,-70.26163948,107.4456557,0,0,0,-0.999261961,0.038412667,-175.5971494
19,D06S,test,station,-124.3856195,103.1715212,0,0,0,-0.998949169,0.045831837,-174.7462179
20,D07S,test,station,-3.649722576,75.56402588,0,0,0,-0.677709412,0.735329826,-85.32981337
21,D08S,test,station,1.918541431,12.06395817,0,0,0,-0.674306252,0.738451812,-84.80059967
22,D09S,test,station,-64.79610443,-20.25206947,0,0,0,-0.999305489,0.037263125,-175.7289716
23,D10S,test,station,-118.9756699,-24.73381042,0,0,0,-0.998610911,0.052690112,-173.9593607
