x,y,yaw,distance
-312.60586055858965,160.14474851026995,-3.0628557310877085,0.0
-317.5932869003763,159.79037796232262,-175.93580528594026,4.999999999999995
-323.4818917801694,158.69553474441278,-168.18018820598456,5.989519939204326
-328.9178768600749,156.25384039650822,-153.3894799748263,5.959178221663134
-334.2723352877483,153.54546317592605,-153.12479757317425,6.000461000844133
-340.08996028625046,152.2415355035183,-170.1834813055846,5.961961757514696
-346.0453495274661,151.4799525177468,-173.22069990529508,6.0038878785836465
-351.8277985938723,149.94594323151696,-163.54108483388273,5.982466188439427
-354.6322968633594,145.05853077543463,-112.41673934943583,5.634892284633747
-354.49474171383997,139.31912150424256,-84.82514889547882,5.741057411436053
-353.9315247393337,133.34560347438918,-84.57147419848334,6.000010917769682
-353.3957356732237,127.36950039925094,-84.93790587419608,6.000073156890653
-352.9115040793061,121.38928324666844,-85.45728106394381,5.9997897820331945
-352.368396388513,115.41393499894343,-84.6764316416972,5.9999793870803355
-352.0283203125,111.343162536621,-1.4965425329366098,4.084952897828701
