x,y,yaw,left_x,left_y,right_x,right_y
-268.69169666931526,-43.311915884930436,1.650816057723986,-269.7831,-47.4204,-266.9579,-47.1776
-268.85156488091553,-41.318322010487925,1.6511836590668807,-270.8314,-34.4063,-268.0058,-34.1636
-269.012166481629,-39.32478018474546,1.6522879430021509,-271.7445,-22.4812,-268.9183,-22.2267
-269.1749712339144,-37.33139471689441,1.6515748730829496,-271.9362,-21.3437,-269.1911,-19.9348
-269.3363533382461,-35.33790828357321,1.6476800938941292,-272.1617,-20.6086,-269.7461,-18.6086
-269.4899655682217,-33.34386658529501,1.646035260979409,-272.521,-19.9095,-271.8728,-15.256
-269.6402997405666,-31.34954819916006,1.6518790456440031,-274.4759,-16.8586,-272.9915,-13.4856
-269.8023017461923,-29.355944261979932,1.6504197601726451,-275.77,-14.7732,-273.4022,-12.6702
-269.96138859039684,-27.362178136495114,1.6275912914930115,-276.2628,-13.4323,-273.593,-11.7619
-270.07490682760357,-25.36558998521551,1.6354765443089219,-276.4156,-12.0063,-274.657,1.0977
-270.20416410990543,-23.369972370205627,1.7289879261105296,-277.4809,0.8499,-274.9373,4.297
-270.52019028491475,-21.388921372667873,1.8795586367509587,-277.7621,4.0519,-274.84410155747196,5.010191236539823
-271.13056897067185,-19.475288743807354,2.0588529879071986,-277.7603167349941,4.76848138707198,,
-272.06493052373617,-17.71531280446651,2.159408523467597,,,,
-273.17623625910807,-16.05055388440634,2.0891904705222224,,,,
-274.1712173610909,-14.306293402101005,1.9271192694867576,,,,
-274.8711232812589,-12.425890503941213,1.746584532584975,,,,
-275.21975695551185,-10.463101519005722,1.6266848245812733,,,,
-275.33175909570963,-8.461160036569474,1.6101594276214486,,,,
-275.4107816233595,-6.4546689863542195,1.6357529539959241,,,,
-275.54071237089784,-4.457213760861243,1.6539238371044371,,,,
-275.7066645877504,-2.465456920920156,1.6636806051534514,,,,
-275.89198387398636,-0.476034857195768,1.66510117579439,,,,
-276.08024503881217,1.514347836941449,1.6637676309514466,,,,
-276.108703613281,1.81956601142883,1.6637676309514466,,,,
