x,y,yaw,distance
-408.4371891937272,151.2619373516324,-3.061180884037953,0.0
-413.4210326164313,150.86030974056857,-175.39272299836915,5.0000000000000036
-419.4016452339391,150.37836297145267,-175.39279616030387,5.999999997412897
-425.38225831409335,149.8964218054901,-175.3928459536986,6.000000008496769
-431.3628541810151,149.4142669964845,-175.39037989274942,6.000000015274071
-437.34355425712073,148.93341149994114,-175.4058099384907,5.999999617407133
-443.32331065807676,148.44095778361773,-175.26937886273888,5.999999773124613
-449.3025641195044,147.94247815387456,-175.2273731509176,5.9999961581040235
-455.28194700780415,147.44553624307042,-175.25345752575063,5.999997582299992
-461.25601631545567,146.88881907077638,-174.5605603939636,5.999953175029866
-467.2335974419486,146.36862657932,-175.11961929422068,6.000173026836127
-467.4311218,146.3517609,-3.0680520222363894,0.19824309108406238
