x,y,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-474.5985,141.3164,-3.0528639844710823,2.222222328186035,0.0,"array('q', [38074])",-474.4801,139.9013,-474.7169,142.7314
-476.59063238695194,141.13917541712425,-3.0528637975401303,2.222222328186035,0.0,"array('q', [38074])",-503.5794,137.4849,-503.7552,139.9766
-478.5827647407832,140.9619504618566,-3.052866510871114,2.222222328186035,0.0,"array('q', [38074])",-524.5826936534115,135.58836725460813,-524.8072886396109,138.0756612175996
-480.57489757565776,140.78473091188795,-3.0529201436986617,2.222222328186035,0.0,"array('q', [38074])",,,,
-482.5670399091759,140.60761820618225,-3.0528610418862225,2.222222328186035,0.0,"array('q', [38074])",,,,
-484.55917177509184,140.43038776124678,-3.052864094243325,2.222222328186035,0.0,"array('q', [38074])",,,,
-486.5513041814339,140.2531633970576,-3.05288118340777,2.222222328186035,0.0,"array('q', [38074])",,,,
-488.5434396145093,140.07597307691418,-3.0528968793017106,2.222222328186035,0.0,"array('q', [38074])",,,,
-490.5355778279218,139.89881402519046,-3.0528654842993723,2.222222328186035,0.0,"array('q', [38074])",,,,
-492.5277104805244,139.7215924301851,-3.052868189396522,2.222222328186035,0.0,"array('q', [38074])",,,,
-494.5198436125358,139.54437622409145,-3.0528938068578237,2.222222328186035,0.0,"array('q', [38074])",,,,
-496.51198128138367,139.3672110516574,-3.0528806092685996,2.222222328186035,0.0,"array('q', [38074])",,,,
-498.50411661265605,139.19001958775732,-3.0528651055533267,2.222222328186035,0.0,"array('q', [38074])",,,,
-500.49624919698175,139.01279723834233,-3.052848306060365,2.222222328186035,0.0,"array('q', [38074])",,,,
-502.48837879022835,138.83554142334089,-3.0523967528083373,2.222222328186035,0.0,"array('q', [38074])",,,,
-504.4804276555104,138.65738611716907,-3.0515250922239447,1.6666666269302368,0.0,"array('q', [38074, 37934])",,,,
-506.47232099458097,138.47749444132205,-3.051500136175987,1.6666666269302368,0.0,"array('q', [37934])",,,,
-508.4642098222106,138.29755305768177,-3.051554126805825,1.6666666269302368,0.0,"array('q', [37934])",,,,
-510.4561083586976,138.11771921794195,-3.051544212407655,1.6666666269302368,0.0,"array('q', [37934])",,,,
-512.4480051123637,137.9378656297158,-3.0525863140467733,1.6666666269302368,0.0,"array('q', [37934])",,,,
-514.4400904949689,137.76008769374113,-3.0535290205888637,1.6666666269302368,0.0,"array('q', [37934])",,,,
-516.4323454614927,137.58418753441666,-3.0527571876091573,1.6666666269302368,0.0,"array('q', [37934])",,,,
-518.424459507208,137.40675014587615,-3.0509258992258923,1.6666666269302368,0.0,"array('q', [37934])",,,,
-520.4162409775813,137.2256653121776,-3.0489594470299672,1.6666666269302368,0.0,"array('q', [37934])",,,,
-521.6228637695312,137.1135711669922,-3.0489594470299672,0.0,0.0,"array('q', [37934])",,,,
