station,node,x,y,z,qx,qy,qz,qw
P02S,HP0201,-445.9377747,81.76993561,0,0,0,0.032415,0.999474
P02S,HP0202,-419.1967163,83.47602081,0,0,0,0.032415,0.999474
P03S,HP0301,-390.2440796,85.05509949,0,0,0,0.053901622,0.998546251
P05S,HP0501,-360,88.48007202,0,0,0,0.053901622,0.998546251
P05S,HP0502,-359.1496887,100.847023,0,0,0,0.757231296,0.653146817
P05S,HP0503,-344.738739,89.50649261,0,0,0,0.035371771,0.999374223
P0501N,HP0501N01,-361.5672302,130.3350067,0,0,0,0.727272264,0.686349076
P0501N,HP0501N02,-362.256897,140.993103,0,0,0,0.711708562,0.702474855
P0501N,HP0501N03,-361.7337036,149.9529419,0,0,0,0.693060793,0.720879142
P0501N,HP0501N04,-370.831543,158.321167,0,0,0,-0.999468321,0.032604837
P0502N,HP0502N01,-442.655365,152.4345245,0,0,0,-0.999657762,0.026160261
P0502N,HP0502N02,-471.4979553,149.980835,0,0,0,-0.999574546,0.029167237
P0502N,HP0502N03,-486.1540527,144.8631439,0,0,0,-0.946416374,0.322948984
P0502N,HP0502N04,-500.5923767,139.0618134,0,0,0,-0.997107248,0.076007476
P0502N,HP0502N05,-504.0954285,134.9711761,0,0,0,-0.999165799,0.040837557
P0503N,HP0503N01,-250.4593658,97.99645233,0,0,0,0.041963094,0.999119161
P0504N,HP0504N01,-209.5681152,101.5540314,0,0,0,0.045964319,0.998943082
P0504N,HP0504N02,-202.0335693,104.3354187,0,0,0,0.455863088,0.890049911
P0504N,HP0504N03,-202.5076447,124.5038071,0,0,0,0.733780079,0.679387073
P0504N,HP0504N04,-200.5316315,101.7066727,0,0,0,-0.195400961,0.980723439
P0504N,HP0504N05,-193.6184692,92.84474182,0,0,0,-0.680745319,0.732520178
P0504N,HP0504N06,-192.3742371,83.58233643,0,0,0,-0.647930341,0.761699595
P0504N,HP0504N07,-195.7078247,79.07594299,0,0,0,-0.696705278,0.717357481
H01S,HH01S01,-527.5010376,134.4896088,0,0,0,0.937625579,0.347646765
H01S,HH01S02,-534.8388062,140.8892212,0,0,0,0.963821816,0.266547383
H01S,HH01S03,-547.2570801,143.8162537,0,0,0,-0.999555441,0.029814752
H01S,HH01S04,-566.1798096,142.0529175,0,0,0,-0.999473622,0.032441944
H01S,HH01S05,-580.4457397,137.2937317,0,0,0,-0.999418948,0.03408468
H01S,HH01S06,-587.0823364,142.2434692,0,0,0,0.65911777,0.752039736
H01S,HH01S07,-580.4931641,147.7207947,0,0,0,0.054629841,0.998506675
H02S,HH02S01,-534.8388062,140.8892212,0,0,0,0.963821816,0.266547383
H02S,HH02S02,-547.2570801,143.8162537,0,0,0,-0.999555441,0.029814752
H02S,HH02S03,-566.1798096,142.0529175,0,0,0,-0.999473622,0.032441944
H02S,HH02S04,-580.4457397,137.2937317,0,0,0,-0.999418948,0.03408468
H02S,HH02S05,-587.0823364,142.2434692,0,0,0,0.65911777,0.752039736
H02S,HH02S06,-580.4931641,147.7207947,0,0,0,0.054629841,0.998506675
H01N,HH01N01,-449.6369019,159.1664276,0,0,0,0.054545616,0.99851128
H02N,HH02N01,-374.6099243,165.7845917,0,0,0,0.042577294,0.999093176
H02N,HH02N02,-363.9142151,161.4751282,0,0,0,-0.378323853,0.925673302
H02N,HH02N03,-356.5901489,152.2536163,0,0,0,-0.5790807,0.815270227
H02N,HH02N04,-353.9838867,135.6612701,0,0,0,-0.681480297,0.731836461
H02N,HH02N05,-351.9919739,110.5510406,0,0,0,-0.678181211,0.734894717
H03N,HH03N01,-351.6934204,93.35042572,0,0,0,-0.655685044,0.755034518
H03N,HH03N02,-342.411438,89.79541779,0,0,0,0.098832387,0.995104095
H03N,HH03N03,-352.711853,87.66152191,0,0,0,-0.913129353,0.407669947
D01S,HD0101,-204.6655884,150.23909,0,0,0,0.734011248,0.679137311
D01S,HD0102,-214.1835785,160.7373199,0,0,0,0.987756465,0.156003736
D01S,HD0103,-229.4043121,165.7605438,0,0,0,0.988758801,0.14951934
D01S,HD0104,-245.8906403,168.4405365,0,0,0,-0.999561386,0.0296148
D01S,HD0105,-263.4677734,167.3355103,0,0,0,-0.998856359,0.047811867
D01S,HD0106,-276.4396667,161.8896637,0,0,0,-0.950003244,0.312240029
D01S,HD0107,-294.7384949,155.2286377,0,0,0,-0.999678589,0.025351889
D01S,HD0108,-299.7027588,151.0265198,0,0,0,-0.997142204,0.075547503
D01S,HD0109,-348.2603455,160.259079,0,0,0,-0.998644543,0.052048785
D01S,HD0110,-199.1573334,160.198761,0,0,0,0.264066524,0.964504469
D01S,HD0111,-187.2594452,163.6459351,0,0,0,-0.027872902,0.999611475
D03S,HD0301,-59.40047836,173.1902161,0,0,0,0.046324208,0.998926458
D0301N,HD0301N01,-29.86715698,175.840332,0,0,0,0.103834271,0.994594613
D0301N,HD0301N02,-16.83736229,178.1516724,0,0,0,-0.059188089,0.998246848
D0301N,HD0301N03,-11.19421673,174.9908752,0,0,0,-0.584696203,0.811252334
D0301N,HD0301N04,-10.90056896,159.7154999,0,0,0,-0.676521982,0.736422438
D04S,HD0401,-4.421425819,127.9228592,0,0,0,-0.683028936,0.730391315
D04S,HD0402,-3.773581028,118.6183167,0,0,0,-0.726660575,0.686996658
D04S,HD0403,-6.321446419,105.8547668,0,0,0,-0.676132012,0.736780498
D04S,HD0404,-11.28607559,115.0302353,0,0,0,-0.967945631,0.251159821
D04S,HD0405,-33.32506943,110.5885468,0,0,0,-0.999266804,0.038286474
D04S,HD0406,-41.48044968,109.9414215,0,0,0,-0.999504596,0.03147319
