x,y,yaw,distance
-595.3869086713355,59.65648820437109,1.6999210607934614,0.0
-595.8140975790616,64.63820574324419,94.90119948356669,5.000000000000004
-592.5682118337091,69.3592921120465,48.22604722373106,5.72926092734248
-587.0830393252564,70.48075885280065,6.257507820631313,5.5986431479513925
-581.0987264236652,70.4509068781261,-1.5814626760123254,5.984387357494777
-575.1188102038287,70.86200653157753,5.033446065157808,5.9940304404741855
-569.1423519704389,71.39228509214938,5.077857273026905,5.999937363611012
-563.1660646389979,71.92515568960158,5.0987349054056,5.9999967784633785
-557.1859631603311,72.41299967461319,4.576742532857066,5.999967120648675
-551.2037976888689,72.87498791198422,4.3839118187781,5.999978071578543
-545.2283651570744,73.41505239067862,5.320486691277429,5.999788628208089
-539.253235486051,73.96172747557263,5.208946135903499,6.000085685553849
-533.278210051524,74.50840824625982,5.231429508424421,5.99998240066458
-527.3031389911558,75.05480220992439,5.223612365188314,6.000001711664566
-521.3283855703708,75.6046105658202,5.264470746627364,5.9999973056157145
-515.3506991472708,76.12156653669912,4.878339760571654,5.999998204061472
-509.37164446895304,76.62197670001328,4.765319110329367,5.99995876468011
-503.3915138990132,77.10975436952744,4.6426406891772665,5.999990724026626
-497.42719312323885,77.76071489406019,6.5459923639489705,5.999739321073337
-492.5337398,78.24318992,0.0746193991859276,4.917180856687417
