x,y,yaw,distance
-119.87491012921586,107.3417354321944,-3.0582610489340185,0.0
-124.85790661718407,106.92973300392904,-175.27344085287544,5.000000000000004
-130.83184093351935,106.37456305996304,-174.57410687315326,5.999675398100419
-136.80420519727102,105.80041421351658,-174.49572447268343,5.999898482208999
-142.51448930549157,104.02879204170625,-160.423516522472,5.9787950053707375
-148.10883348728248,101.9337023263472,-159.28308452133479,5.973783369000013
-153.94204126470134,100.62094895265413,-168.90387783649103,5.979099798019971
-159.9010222453985,100.01930447431054,-175.29346724530134,5.9892762840456655
-165.89032170203984,99.66195528345997,-176.84397291854998,5.9999505352565805
-169.7788696,99.44789886,-3.0850975686788007,3.89443512041925
