x,y,yaw,distance
-463.6245123827709,146.74476742580413,-3.0581151133102797,0.0
-468.6070581461916,146.327349511217,-175.21116938347046,5.000000000000001
-474.5854340137623,145.8181618295419,-175.11589851589022,6.000020842390599
-480.5647751863622,145.3207611786241,-175.2704740557429,5.9999940221538415
-486.410445641007,144.0216359816722,-165.91595406180843,5.988287680269072
-491.42707688609005,140.89164683817646,-144.62981351816694,5.912987492591592
-496.37392984142673,137.5006858338965,-145.75783267402943,5.99749703578672
-501.98301391492146,135.50280718080418,-163.27078066774513,5.954271009621096
-507.90914701145584,134.76503941037677,-174.79942215595875,5.971880337123448
-513.8855772851551,134.23727863847662,-174.984271099764,5.999687512591472
-519.8617762138673,133.70668932097274,-174.91479234589727,5.999706547772955
-520.698486328125,133.632232666016,-3.0462269197000125,0.8400164336300089
