x,y,yaw,distance
-165.17908759593672,-28.371274587447,-3.067208716719138,0.0
-170.17049618023336,-28.664259816784377,-176.64071229021712,5.000000000000002
-176.1640777233514,-28.513206321033355,177.59708166432753,5.9954847070594575
-182.1591054672211,-28.614326102202966,-178.36157175632582,5.9958804907962735
-187.10762371600475,-31.664295922156843,-142.80919742338983,5.812929447462287
-189.96989336522324,-36.76450143376218,-114.99794831525246,5.848477050091483
-190.2822354038188,-42.638064359153304,-88.90680704090899,5.881861864036182
-189.71233820669,-48.603564684404404,-83.67439441984173,5.992660256168894
-189.233973029656,-54.58309443878062,-85.7760489894617,5.9986339549991925
-189.82012096740726,-60.53497823766152,-97.5814588492515,5.980676396555074
-191.80733989464505,-66.16187152005622,-111.79236496485642,5.967492528376618
-194.70221085100982,-71.4007349449384,-120.3392426467633,5.985479750076225
-198.14534494867115,-76.3077238654811,-125.99761092652733,5.994473511561026
-202.45042175756308,-80.45730384192795,-138.05039789146542,5.979356178669055
-207.75668760124134,-83.15583021627081,-155.99072433962309,5.953024592323687
-213.59424320781469,-84.35360333059788,-170.83625398294205,5.959170738722013
-219.56035876094703,-84.89669752308718,-175.5855536970692,5.990783429172116
-225.54113263031252,-85.38278103240587,-175.30710866532925,6.000494417505665
-231.52014100868556,-85.88421709278084,-175.18583275651469,5.9999982759413655
-237.49913488592793,-86.3857347725714,-175.2091419884843,5.999990647263068
-243.47842026460498,-86.88389308397653,-175.243120200846,6.0000012785734596
-249.45876016319417,-87.36918819843825,-175.38422044727386,5.999998054231202
-255.44277752282693,-87.80555955005893,-175.9182061198383,5.999906975687329
-261.040496826172,-88.3000564575195,-3.026083491154742,5.619518537252988
