x,y,yaw,distance
-167.43472037078698,99.41044156966905,-3.094004256399153,0.0
-172.43470572970642,99.42254159409579,179.86134379833007,4.999999999999995
-178.37876525187136,100.14158873985541,171.75955866879562,5.987392788256395
-184.3520390789575,100.70190683599434,175.2177567437697,5.999496360713368
-190.29323528919764,100.07412322897153,-171.82746419178812,5.974271894199199
-194.13462511697065,95.80164653992972,-124.38459334963315,5.745461936809229
-194.03991103877692,90.24793711477794,-84.37477279449935,5.5545170029110364
-192.86623938303146,84.37172733239939,-77.57468809368876,5.992273905790831
-191.7622053907091,78.47935436096415,-79.7486488040502,5.994910365527055
-191.1860870291397,72.51912615452962,-85.41643007520557,5.988007401407855
-190.6909476250482,66.53956155051975,-85.23640177158434,6.000029656844353
-190.1918768824993,60.56036050590769,-85.22716840751578,5.999993061492513
-189.70311358859533,54.58030397176866,-85.34753592302339,5.999997142413217
-189.24787634434983,48.59765754806035,-85.70878644734796,5.999941598020606
-188.7729448783813,42.6164847109693,-85.41022848730088,5.999999033710151
-188.2256847887572,36.6414705773504,-84.63810261078983,6.000023958505588
-187.6897584400548,30.66660316349663,-84.9216893589654,5.998854696053663
-187.54060229254887,24.66799614864057,-89.30806254541255,6.0004611218654835
-189.6129990367419,19.14470206102756,-114.63540824170649,5.899288587923357
-190.28269326865842,13.242083524437737,-92.8985104905406,5.94048785477725
-189.85068964499848,7.288235327993385,-84.47413927145884,5.969500437822162
-189.3309478482697,1.3085566090278515,-85.14436400892714,6.002223681046564
-188.8235975451004,-4.669789050711083,-85.15020982618208,5.999835094187617
-188.86365713856006,-10.665258520659581,-91.4285844263613,5.9956033004287965
-190.24313511233615,-16.474745946777155,-105.71934031540714,5.971021992452513
-191.5456556472978,-22.322719762888696,-101.92866149167558,5.99127344543069
-191.41549373282544,-28.259420151999628,-86.21167269237034,5.938127115012695
-191.0041287276729,-34.26364034825974,-86.05395324661487,6.0182955504562905
-190.57197855799134,-40.243975118783396,-85.8296222481621,5.995928429917257
-189.97026498206316,-46.21337928198461,-83.92693864528961,5.999653764268422
-189.34096173029573,-52.18048500130628,-83.99028197079659,6.000197767427876
-189.41604471844497,-58.171794231849056,-92.06061902984027,5.991779681454958
-190.86511505624853,-63.96185609765059,-106.41911505485764,5.968636465199674
-193.47396148504023,-69.3375953718096,-117.75664929078059,5.975337014157016
-196.6855562214826,-74.39913864919835,-123.32079208340309,5.994460868170185
-200.6022258295972,-78.92980965337678,-132.34182284448042,5.988929834889666
-205.53738922465948,-82.27454463872989,-148.5414129244564,5.961802567865514
-211.21996543684986,-84.02671017360004,-165.65106935477192,5.946575188201927
-217.16724561113992,-84.68841286865582,-175.23932173844216,5.983977935132086
-223.1465462591609,-85.1843084609433,-175.2629381629104,5.999829054054327
-229.12558675412484,-85.68381059836877,-175.21678269475532,5.99986896737846
-235.10466260205942,-86.18454250449444,-175.21200332817907,6.000006703093496
-241.08355552020734,-86.68739027894703,-175.1886227824479,6.0000013675791175
-247.06386722674924,-87.17302578009966,-175.39120608166618,5.999997495614629
-253.04461409140666,-87.65324018389131,-175.41301041008586,5.999994911057719
-259.02586469434334,-88.12713309167843,-175.48131820830983,5.999994438595869
-265.00351754928806,-88.64465982432772,-174.96594909424513,6.000013964420036
-270.9771574231862,-89.20471173269229,-174.57956544046345,5.999835954681487
-276.95404749938774,-89.73081755973465,-175.0476078172945,6.000000193687016
-282.9345071150834,-90.21255940739871,-175.46400846033512,5.999831032850651
-288.9154247898832,-90.69112774983532,-175.4174082035599,6.000033657498526
-291.9058378700921,-90.93074437332136,-3.061600890799809,2.9999977527550428
