x,y,yaw,distance
-61.59826412777422,-16.267466959203464,-3.039262241128721,0.0
-66.57986336498026,-16.696033219970964,-175.08295910188346,4.999999999999997
-72.48100753805747,-17.771695107660797,-168.58433201750123,5.998379035045351
-77.74236592582547,-20.39305841727761,-150.78827785463545,5.878217220003179
-83.57075628433066,-21.69515579052588,-170.76239211406187,5.972067626922546
-89.5307348750146,-22.274439627868816,-175.17829446392278,5.988064342140768
-95.50942995053072,-22.777818888508868,-175.1891051721858,5.9998487885981895
-101.4882007164438,-23.277299923751492,-175.23152909920907,5.999598417886314
-107.46750861319815,-23.77633046525839,-175.228703797425,6.000096199690934
-113.44045235291213,-24.34708216588989,-174.40415851104814,6.000151199891734
-113.7057685,-24.3730772,-3.036588570152112,0.26658657074942765
