x,y,yaw,distance
-312.60483398811056,160.1427245805531,-3.06252955934605,0.0
-317.59305394697617,159.79970615251315,-176.06620852174999,5.000000000000027
-323.48930037955535,158.71503103516096,-168.2773406350578,5.995184909901082
-329.34688373854965,157.46934046958657,-167.938184346839,5.988574771406636
-335.2801947228321,156.9233987575568,-176.0552054504732,5.958374911764183
-341.2686381625832,156.50008100137708,-175.93673788937298,6.003386773629959
-347.25413398367635,156.07192820744152,-175.90285210195262,6.0007895346594395
-353.2371318008718,155.62172032346106,-175.65550183172076,5.999912500975622
-359.2180246127633,155.14417844320585,-175.39081505423482,5.999927089118114
-365.1983186654516,154.6583077435794,-175.3480648816718,5.999998941114445
-371.18080577488195,154.2001279203112,-175.6749235966258,6.000006730408746
-377.16512000072976,153.76740995949652,-175.90207101106114,5.999938465292464
-383.1467597673929,153.29861914169328,-175.44214145467575,5.999981594053639
-389.12747580399815,152.81820920129726,-175.40056171482334,5.999979835077665
-395.1080578463278,152.3359254205211,-175.38735088875538,5.999996600852029
-401.08869982605233,151.85431832822897,-175.39777744328543,6.000001990082103
-407.0682366837447,151.3592569334638,-175.24099796893134,5.999995568089073
-412.5950317,150.9276123,-3.068923485255108,5.543625189467834
