id,name,description,node_type,x,y,z,qx,qy,qz,qw,yaw
1,H01S,test,station,-520.698486328125,133.632232666016,2.01237016,0,0,-0.998822631411061,0.048511348992622,-174.4388262
2,H02S,test,station,-521.4055201,137.2836357,1.945850846,0,0,-0.998822631411061,0.048511348992622,-174.4388262
3,H01N,test,station,-561.614929199219,153.773910522461,0,0,0,0.0548930249893764,0.998492241235512,6.293440628
4,H02N,test,station,-505.943542480469,158.765563964844,0,0,0,0.0548930249893764,0.998492241235512,6.293440628
5,H03N,test,station,-449.654479980469,163.522537231445,0,0,0,0.0548930249893764,0.998492241235512,6.293440628
6,H04N,test,station,-380.676788330078,168.932556152344,0,0,0,0.0478076739763803,0.998856559426311,5.480444908
7,H05N,test,station,-352.0283203125,111.343162536621,0,0,0,-0.680453206993647,0.732791534539027,-85.75813679
8,P01S,test,station,-492.5337398,78.24318992,1.633229208,0,0,0.0324153489884321,0.999474484491704,3.715176194
9,P02S,test,station,-446.5448666,81.87143206,1.624747337,0,0,0.0492037859885673,0.998788760171234,5.64061611
10,P03S,test,station,-394.9982955,87.70415182,1.812628312,0,0,0.050529503010441,0.998722568747457,5.792721338
11,P04S,test,station,-256.4065811,-88.4646553,1.767044455,0,0,-0.99838024118941,0.0568937079348411,-173.476939
12,P05S,test,station,-364.6155893,88.53789722,1.717798651,0,0,0.0586537579826931,0.998278386360492,6.725085346
13,P06S,test,station,-585.5670805,-120.325188,1.189936018,0,0,0.73183039700659,0.681486808395567,94.08012594
14,D01S,test,station,-204.1819685,137.5837317,2.02767684,0,0,0.731577921023259,0.681757834917419,94.03768071
15,D02S,test,station,-134.2614441,167.0089417,0,0,0,0.0277452440139621,0.999615026615049,3.179778821
16,D03S,test,station,-80.28000641,171.4285889,0,0,0,0.0279792109963755,0.999608505241937,3.206599875
17,D04S,test,station,-4.542374583,140.42543,2.112198557,0,0,-0.679137689002693,0.734010898676636,-85.55259143
18,D05S,test,station,-69.0088241,107.4099843,1.841144919,0,0,-0.999261961159472,0.0384126669176459,-175.5971494
19,D06S,test,station,-122.3932424,103.0937881,1.821384125,0,0,-0.998949169220926,0.0458318373275765,-174.7462179
