station,node,x,y,z,qx,qy,qz,qw
P02S,HP0201,-444.632690429688,81.8995208740234,1.84773133579694,0,0,0.038098627389084,0.999273983745733
P02S,HP0203,-419.910095214844,83.8438873291016,1.84773133579694,0,0,0.0608588258439726,0.998146383711775
P03S,HP0301,-392.878875732422,87.9508895874023,1.85388949630427,0,0,0.0383124219392795,0.999265809644835
P05S,HP0501,-363.099212646484,88.583137512207,1.7369128156966,0,0,0.0449238915647572,0.998990412349727
P05S,HP0503,-358.096435546875,98.8844299316406,1.74255944345259,0,0,0.792583039579005,0.609763991534189
P0504N,HP0504N01,-297.827514648437,94.0669555664062,1.75708244505018,0,0,0.0410474339214168,0.999157198927409
P0505N,HP0505N02,-239.063903808594,98.9234848022461,1.74525651160739,0,0,0.0337607101494364,0.999429944743605
P0505N,HP0505N03,-208.204254150391,101.679389953613,1.74377685807852,0,0,0.0541411612537242,0.998533291712449
P0505N,HP0505N06,-200.567565917969,114.075523376465,1.7510756743299,0,0,0.797718783602949,0.603029636325639
D01S,HD01S01,-204.882141113281,148.314971923828,1.76077257273858,0,0,0.728594171267441,0.684945642803216
D01S,HD01S03,-194.289611816406,162.845245361328,1.76109541240797,0,0,0.130595446440842,0.991435741421963
D01S,HD01S05,-206.959457397461,156.817184448242,1.76102293004853,0,0,0.917790540975693,0.397064884994311
D01S,HD01S06,-219.196243286133,162.435073852539,1.76059337113644,0,0,0.991683810048845,0.128698177481295
D01S,HD01S07,-238.96940612793,163.98095703125,1.76001644975992,0,0,-0.999614891529063,0.0277501105104063
D0117N,HD0117N01,-267.818389892578,161.83610534668,1.75797709342739,0,0,-0.998967040860529,0.0454406346165962
D17A,HD17A01,-335.385345458984,153.025024414063,1.7438220904564,0,0,0.995980564958114,0.0895696054792941
D17S,HD17S01,-335.764526367188,149.927658081055,1.74311347806576,0,0,0.981122178616075,0.193388910301617
D17S,HD17S02,-367.608367919922,154.495727539063,1.74202677049159,0,0,-0.998416047353115,0.0562618555309251
D17S,HD17S03,-349.284057617187,155.891372680664,1.74202677049159,0,0,-0.997416416122548,0.0718365704168254
D17S,HD17S04,-354.579254150391,147.223251342773,1.74285206995238,0,0,-0.754024566859553,0.656846216836379
D17S,HD17S05,-354.376281738281,137.722625732422,1.74287640906574,0,0,-0.673111091842387,0.739541383587659
D17S,HD17S06,-383.293151855469,153.284072875977,1.74202677049159,0,0,-0.999828992355751,0.0184928647019269
D17S,HD17S07,-439.841461181641,148.769638061523,1.74285206995238,0,0,-0.998484167693932,0.0550396844518256
D17S,HD17S08,-479.436431884766,145.628707885742,1.74287640906574,0,0,-0.99946045340719,0.0328451225465009
