x,y,yaw,distance
-190.08589385790023,59.295393640086345,-1.4860096490744816,0.0
-189.68265409842053,54.31168039629164,-85.37418900805181,4.999999999999997
-189.2280904489055,48.32898512052728,-85.71119492601834,5.999939239201815
-188.74892344332966,42.34815614608607,-85.3610515173439,5.999993020058275
-188.20150030549559,36.37313889074531,-84.64608023047309,6.000041940974739
-187.6617663322871,30.398577579060152,-84.8763261003591,5.998891199956912
-187.59882445283102,24.400677931312657,-90.30413002123677,5.998229894280394
-189.6847445134842,18.8883146706741,-114.59229939219122,5.893828231011917
-190.26887143694373,12.97723636069112,-91.90131929566392,5.939869615527056
-189.82819123973482,7.019473126058147,-84.56917421371713,5.974038985155389
-189.2933679101745,1.0414503678975588,-84.95146502603758,6.001899040381128
-188.8972931,-3.592179775,-1.4899389297901138,4.650527234241685
