x,y,yaw,distance
-314.99982099151816,149.26769231294895,-3.066999886752876,0.0
-319.9861068170772,148.8976197986645,-175.7553999077211,4.999999999999979
-325.9687722395778,148.4334980592997,-175.52570368588118,6.000641177952165
-331.94503898521486,148.69018430840697,176.17032835838805,5.981776662956277
-337.43919743391086,150.85299762421084,155.18032208282372,5.904535417659561
-342.8741592527245,153.41113361885218,154.71680331299467,6.006901841968253
-348.52544589918205,155.41856211840255,161.59148489030125,5.997233523987245
-354.4318680364857,155.48572386833084,-177.29033205468045,5.9068039720888015
-360.41974987961225,155.04873662044795,-175.53197468411392,6.0038060280173084
-366.40082154418246,154.5607331573485,-175.29616143541642,6.000947061649662
-372.383731636627,154.11189217740625,-175.79236024383292,5.999722610217069
-378.3680488069218,153.678269718467,-175.8682505714521,6.000006702628108
-384.3491156848886,153.20244813424682,-175.3680729213685,5.99996393145168
-390.32979416399576,152.72117420902023,-175.40547216591727,6.000011638451919
-396.31039405468533,152.23913901902887,-175.3892246718721,5.9999944147395805
-402.2908354074606,151.75505581311145,-175.3689355289668,6.0000012770194875
-408.27055612860124,151.2620863627772,-175.27083016874514,6.000006565146566
-412.5950317,150.9276123,-3.068267643066364,4.3373911359589465
