x,y,yaw,distance
-479.1840445404851,73.91333488634781,-3.062619701785576,0.0
-484.17134957993704,73.55726123742458,-175.9162397471151,5.000000000000021
-490.1424258253648,74.08160589943412,173.1514950535489,5.994054458652298
-495.9669549910246,72.9454979521953,-165.47113571365514,5.9342970324547
-499.76975971760857,68.63688330057433,-125.42785833187659,5.746780316376501
-500.8041918091069,62.90820111986624,-95.72005411782585,5.821327106380807
-500.85348979938067,56.92011752152995,-89.4304716725976,5.988286522245667
-500.3836805425219,50.94435342262115,-84.72248612319957,5.994203642156106
-499.9213876813945,44.96063042072157,-85.75442182731655,6.001554436386582
-499.891723632813,44.56103515625,-1.5096327753160776,0.4006948105058881
