x,y,yaw,distance
-189.25731970251692,0.4300237070279481,-1.4860959783099033,0.0
-188.8323665472516,-4.5518850452305735,-85.12451388105478,5.000000000000001
-188.8503036651867,-10.547825820590038,-91.18015423906417,5.995967605134143
-190.20798558427484,-16.36260109712071,-105.51134096601882,5.971173394733336
-191.5386457315471,-22.20331030915289,-102.30360646103911,5.990370650223256
-191.42157425596193,-28.141947870031018,-86.28368205163414,5.939791394474069
-191.01232273739262,-34.14589024966282,-86.06324941279438,6.017874284445469
-190.58284224415365,-40.1261771793151,-85.85825319981831,5.995688889113801
-189.98234488180108,-46.095819990151,-83.93531443937655,5.9997693598301876
-189.34996668349922,-52.062576637666304,-83.95314477666787,6.000173920508937
-189.40228266977118,-58.0545296794046,-91.80692767757245,5.99218142389034
-190.82326373069122,-63.8517416660425,-106.13630423059833,5.968823501621703
-193.41559923210838,-69.23494581665315,-117.60412399736674,5.974871570089141
-196.61687986901643,-74.30294182314087,-123.21171622042156,5.994395819264681
-200.5157753535771,-78.84943509659767,-132.09081169802073,5.9893227567994405
-205.43074813592688,-82.22449964694114,-148.17190460982928,5.962215877526084
-211.10399694888108,-84.00596485006845,-165.3692813115994,5.946374556285507
-217.049630265542,-84.67777107675435,-175.17773411363672,5.983467150607768
-223.02872617211565,-85.174755700028,-175.26262114771816,5.999715124551862
-229.0077905592403,-85.67395725804434,-175.22030132132406,5.999867760285074
-234.98687582491547,-86.17459849141314,-175.21234401046684,6.0000085215575245
-240.96573777417044,-86.67781952307197,-175.18426273751953,6.000001801245783
-246.94605377571912,-87.16336597012805,-175.393099119626,5.999994569216546
-252.92761658014618,-87.63335487456811,-175.53017993744012,5.999998596133339
-258.91000621596083,-88.09469702637837,-175.6022853233834,6.000151859389854
-261.040496826172,-88.3000564575195,-3.0285486620216284,2.1403650941268193
