x,y,yaw,left_x,left_y,right_x,right_y
-165.17908759593672,-28.371274587446997,-3.067208716719138,-161.1082,-29.442,-161.2678,-26.7672
-167.17374845836466,-28.519919565698512,-3.0767614661473393,-169.5423,-30.0587,-169.7696,-27.2881
-169.1695096002407,-28.649488711215703,-3.104914949806186,-171.8204,-30.1619,-171.8843,-27.355
-171.16847424392853,-28.722839038847116,3.140364032604813,-174.4294,-30.0972,-174.2068,-27.2659
-173.1690894168601,-28.72038103982599,3.0976818184018478,-180.1007,-29.6725,-179.8922,-26.8513
-175.16764223225576,-28.632566469055078,3.0609053506405477,-181.7614,-29.7071,-182.2125,-26.9244
-177.16114965129657,-28.47136575082559,3.055839071711994,-183.0955,-30.0776,-184.1733,-27.4941
-179.152669451454,-28.300165939345398,3.1333863078818074,-184.3065,-30.7533,-185.9486,-28.4985
-181.15817402689288,-28.283707706023716,-2.961384628381947,-186.17,-32.3047,-188.1946,-30.3696
-183.12448890986457,-28.64193970289437,-2.6987646151622284,-187.7148,-34.3683,-190.1441,-32.961
-184.93699826281986,-29.501504086080026,-2.4801637536120373,-188.7298,-36.7369,-191.4289,-35.9393
-186.51830980757217,-30.732392309054884,-2.2992531129895752,-189.165,-39.3608,-191.9696,-39.0537
-187.85696432618457,-32.232886834528585,-2.1641599543212267,-189.1448,-40.5857,-191.9615,-40.7441
-188.98540195570774,-33.906038799062934,-2.0191119926570966,-187.851,-52.8297,-190.6521,-53.097
-189.85409599817223,-35.71213289937772,-1.836096736534903,-187.7329,-55.9893,-190.5412,-55.9451
-190.37762869823217,-37.63897443003811,-1.663579076874741,-187.9531,-58.9547,-190.732,-58.56
-190.56385735917365,-39.64035897710463,-1.53381491177304,-188.8701,-62.9538,-191.539,-62.104
-190.48960044111635,-41.64739583744804,-1.457337936091885,-190.4997,-66.855,-192.9571,-65.5249
-190.26323072138806,-43.634005605648056,-1.4494107741268767,-191.7841,-69.3114,-194.2297,-67.9589
-190.02120062654805,-45.61809838483268,-1.468412646146816,-193.2083,-71.7507,-195.5884,-70.285
-189.81678170022843,-47.60771388962394,-1.4633498138811951,-194.7451,-74.1208,-197.0545,-72.5449
-189.60224849013917,-49.59667556495886,-1.457658460124361,-196.5349,-76.6256,-198.7942,-74.9784
-189.37643867375957,-51.58403427422045,-1.4876717961856352,-198.4346,-78.9648,-200.4745,-77.053
-189.21035415396977,-53.5774507967923,-1.5458612610443896,-200.7737,-81.1178,-202.5102,-78.9272
-189.16044285791946,-55.57868680233787,-1.618914931999799,-203.4039,-82.9035,-204.7993,-80.4817
-189.25672787367566,-57.57813568687088,-1.701808109176444,-206.268,-84.2831,-207.2921,-81.6828
-189.51839449062783,-59.56397090567706,-1.7886027510179239,-209.3039,-85.2267,-209.9344,-82.5044
-189.95111936724436,-61.51919499097772,-1.8772792421400144,-212.4446,-85.7136,-212.6696,-82.9286
-190.55487493612168,-63.42707352922057,-1.9560391326136646,-224.6714,-86.7414,-224.9033,-83.8973
-191.30726796780706,-65.28252176580868,-2.020084465129435,-243.0911,-88.2615,-243.3182,-85.4672
-192.1766165679774,-67.08548599296427,-2.069086495925251,-262.8058,-89.86,-263.0278,-87.0267
-193.13256326384538,-68.84246824242197,-2.1027902577025586,-263.99973942603503,-89.74572959459535,-264.2267673485737,-86.91312788567015
-194.14707159226757,-70.56606788908185,-2.129071505649446,,,,
-195.2065873584733,-72.26251635213217,-2.154602901169093,,,,
-196.30942837975056,-73.93191278014278,-2.193660527139224,,,,
-197.47624154598,-75.55645351522888,-2.248947903396936,,,,
-198.73175620101298,-77.11492048891057,-2.321038073895221,,,,
-200.09654771490207,-78.57921347223154,-2.4050886603812485,,,,
-201.58136937079823,-79.92550002796177,-2.5020968121230123,,,,
-203.18928960751475,-81.12140755445684,-2.61410230630368,,,,
-204.91832063106384,-82.12865586036521,-2.7275621261480945,,,,
-206.75227681124917,-82.93455406936476,-2.8257536983028917,,,,
-208.65805704534125,-83.55732061107815,-2.9107447171200445,,,,
-210.60739052145357,-84.01548798083559,-2.9865838086936702,,,,
-212.58426222516047,-84.32439869474081,-3.047719018182534,,,,
